"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
112,955281.456976166,128206.104884693,53589.1830419123,83531.8823869469,0,166963.112699878,1350578.38899176,291.217021301672,0,91507.5236800032,636126.374664299
113,949657.580271232,122105.357383073,54921.3150721607,97597.0059408496,0,164843.502288466,1363640.41147758,483.806111111511,0,92604.6444784051,624664.71257903
114,966700.08384123,129631.401332925,53799.5836567514,104567.86991441,0,165278.654286431,1376621.63042481,759.486612883158,0,89835.5065843413,626662.809632791
115,953932.788190186,127078.427902267,54371.0374120489,102425.9357166,0,168358.155222091,1390690.51377038,1100.26353672506,0,93651.9565573133,639130.561995652
116,946812.070693088,129463.616864196,52845.6573733126,104483.055832908,0,166560.550106743,1358505.45482782,1554.27568224059,0,92314.2883266655,641492.724812585
117,938924.820670877,110023.158125047,53278.0297663224,104558.11988624,0,164682.638287763,1389698.92714482,2145.10586160218,0,94185.3041304186,647042.449249445
118,970575.000303484,86168.5867588719,53500.1773196754,105699.087139561,0,165668.063774705,1356847.97295977,2713.41572239068,0,91548.8656028042,655956.486439016
119,951278.468105239,120641.696714351,53599.9007179312,105102.797853467,0,166601.876784331,1357311.00397038,3572.30132492751,0,92844.0660018404,639850.056654939
120,946098.378796306,143124.874887418,53163.5004951469,99701.4227292747,0,165665.213385729,1352862.77070871,4270.94581956314,0,91682.259971961,658277.626173248
121,943083.565896594,129932.887169263,54589.0088868929,95983.1861733507,0,163479.959901341,1371134.36065842,4971.66049667213,0,92012.14825717,652677.81883645
122,961682.904806036,125723.392401296,53907.0757901926,96946.424752121,0,168635.522751804,1347384.02454913,5929.55731908224,0,92789.1557453658,660448.566792531
123,959363.978421501,133860.782974714,53667.6964817955,97427.2370146545,0,164545.586164718,1354122.21620777,6655.56649303404,0,98261.7023788366,668696.619277208
124,974348.686182227,150898.693619094,53475.4975495254,98229.2085823678,0,159895.980567235,1382570.62003102,7634.96254899482,0,96876.501824462,678792.978545624
125,953390.517431044,153578.528902193,53479.5247845574,110095.938525868,0,163661.726413554,1335145.8036768,8249.07361665578,0,99085.2005273891,684827.307679703
126,956625.467151601,134611.179872541,53962.1699941241,113955.648528861,0,164192.08761069,1410526.75301805,9267.03773080523,0,97245.1293919988,678830.648736321
127,952116.628523914,145291.120659213,54799.7999700045,120684.010818933,0,161235.121493004,1407592.63879459,10896.8922451028,0,92406.6101357354,689168.105857429
128,954490.486008036,148780.139742088,53263.4787930796,123131.229239163,0,164502.379294586,1406884.03998107,12315.7050974866,0,93607.1219194846,680868.758823415
129,977688.290160086,107796.129890249,53523.7329670615,122116.550341945,0,165478.787908201,1405289.81936479,13404.2317585777,0,89753.3862054747,696151.961854755
130,968764.053793568,112360.209452611,52925.51162736,120346.221075347,0,164708.760809684,1361281.8267562,13576.8616764834,0,92290.055613408,693096.635566189
131,955387.837691682,140225.909595254,53169.0034965612,119308.173992908,0,168364.333651445,1364565.28819239,13928.9586234696,0,89000.1936820403,688844.509273438
132,962342.911918519,126788.365725241,53491.2539899317,119897.337836919,0,164875.439024446,1374614.45837822,14350.0720139022,0,91839.0293583811,691742.498865089
133,951250.37239443,119839.101756651,52687.9673992475,122102.610006879,0,164757.585405828,1396528.98263897,14959.5693564743,0,91787.8263188914,701582.167521102
134,947925.165506239,114122.127494178,54247.9526229773,129357.855699555,0,167121.141976363,1385446.47645402,15783.4094811374,0,89397.3166408618,709388.787014966
135,957511.572515884,112704.185988666,53997.6026394475,137774.327280102,0,164155.729866833,1350796.07954579,18076.1114673896,0,85842.8174341009,696890.312238908
136,933564.746144383,152892.500788031,53636.9280088944,143858.216085535,0,163669.807943244,1387558.57257097,20179.00891013,0,87284.045823252,710340.621042362
137,932620.138006904,177050.736508928,53942.1011383368,143822.453861688,0,163542.652653632,1390527.79995716,22300.8909843105,0,87353.9004345611,706305.476588448
138,938224.277614486,140398.29147357,53250.551494812,153281.775315916,0,162645.439756536,1411367.88900788,23799.7897913808,0,82494.8449133598,706773.176601881
139,930452.928098684,128683.017724596,54322.6292281589,154438.079119317,0,157949.035215956,1399895.10855192,23611.8134488831,0,84661.4394553941,702579.881027306
140,914577.993903459,109469.082520928,53767.7715596818,159967.015052214,0,161015.518363546,1390895.35391802,22341.7016824265,0,80511.6073450242,712997.761164559
141,916434.412163117,117332.475869707,54195.2169455597,163409.567742436,0,160987.954397555,1351586.26040714,21865.2170732198,0,82912.5595888995,710228.028773307
142,911716.824294111,135317.851256281,53835.1503797252,175661.707042574,0,158437.997755695,1423924.18626629,22203.6667586462,0,86428.149846876,703581.063033912
143,922311.394083771,123045.640213796,53927.7534481121,191370.011496794,0,160244.494115052,1384375.57920107,22440.070386269,0,76819.1434782655,718170.466388486
143.997260273973,895739.351685271,131061.948764743,52302.0647407334,201260.972133642,0,164427.650305593,1401876.17603547,23567.1445815879,0,79769.4053121426,711752.627202525
