"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
106,7178638.13526006,4159956.20414232,958645.852278983,242324.642983234,1606768.43500126,4713765.81142774,5660750.7217335,11264.726790573,4822701.15139463,3387868.9702507,18233332.2041572
107,9290152.38261691,4725233.93363891,901501.209367441,233178.150069493,1580489.58492588,5821270.50210671,5227856.51978213,7476.83141392158,4034456.04682835,3410074.67062768,14164872.7657472
108,6411624.0370693,4574793.78790505,799975.433580462,242499.399175916,1925327.10236417,5720420.08322058,4875370.03228618,7041.74489054064,5137737.63983165,3026045.54604423,14729415.7510371
109,7020495.22125637,4099100.08829051,829346.031587745,251198.273896403,1778906.47918515,5149447.89467422,5214570.46384093,6708.16759468593,4771052.0630292,3082441.91335185,15914951.6183841
110,7537156.05093557,3725176.50288567,953444.970560648,260601.276757704,1446517.51157309,4558222.06358233,5091499.66936681,6543.99617178281,4030396.02577282,2929117.05330507,16103799.1546958
111,6659826.16646546,5272313.58396998,737357.909895872,377295.124561663,1661682.79286112,4806914.17388819,6748199.74381384,3751.00677130227,4031179.52108744,3577326.23469182,15576453.8217717
112,7401819.04997919,4517768.77839189,884421.950865623,556977.185818575,1561900.77851528,4434483.2307601,5330851.12624198,3256.14371089843,3850484.07917808,4220286.16180076,16512475.9782889
113,6560307.21032013,5750036.80552397,807061.342967828,789967.465018311,1649358.4866376,4701677.33813191,5749649.47140244,5867.13392190062,3584361.03661314,4139173.3963117,14703144.5385822
114,6205582.45003555,4228927.1871068,983382.234622484,831132.564060526,1715969.69171257,4490869.03687934,5924201.17603603,7461.43683799342,4366097.55894171,3754038.35775853,13789198.6523492
115,6437005.21271575,4415708.38802322,932237.531706286,756740.060271773,1500832.94762405,4432144.30819732,5636796.01276992,10870.7249296026,3808968.47551194,3382331.49771538,17257089.9902999
