,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1991,949657.58,122105.36,54921.32,97597.01,0.00,164843.50,1363640.41,483.81,0.00,92604.64,624664.71
1992,966700.08,129631.40,53799.58,104567.87,0.00,165278.65,1376621.63,759.49,0.00,89835.51,626662.81
1993,953932.79,127078.43,54371.04,102425.94,0.00,168358.16,1390690.51,1100.26,0.00,93651.96,639130.56
1994,946812.07,129463.62,52845.66,104483.06,0.00,166560.55,1358505.46,1554.28,0.00,92314.29,641492.72
1995,938924.82,110023.16,53278.03,104558.12,0.00,164682.64,1389698.93,2145.11,0.00,94185.30,647042.45
1996,970575.00,86168.59,53500.18,105699.09,0.00,165668.06,1356847.97,2713.42,0.00,91548.87,655956.49
1997,951278.47,120641.70,53599.90,105102.80,0.00,166601.88,1357311.00,3572.30,0.00,92844.07,639850.06
1998,946098.38,143124.87,53163.50,99701.42,0.00,165665.21,1352862.77,4270.95,0.00,91682.26,658277.63
1999,943083.57,129932.89,54589.01,95983.19,0.00,163479.96,1371134.36,4971.66,0.00,92012.15,652677.82
2000,961682.90,125723.39,53907.08,96946.42,0.00,168635.52,1347384.02,5929.56,0.00,92789.16,660448.57
2001,959363.98,133860.78,53667.70,97427.24,0.00,164545.59,1354122.22,6655.57,0.00,98261.70,668696.62
2002,974348.69,150898.69,53475.50,98229.21,0.00,159895.98,1382570.62,7634.96,0.00,96876.50,678792.98
2003,953390.52,153578.53,53479.52,110095.94,0.00,163661.73,1335145.80,8249.07,0.00,99085.20,684827.31
2004,956625.47,134611.18,53962.17,113955.65,0.00,164192.09,1410526.75,9267.04,0.00,97245.13,678830.65
2005,952116.63,145291.12,54799.80,120684.01,0.00,161235.12,1407592.64,10896.89,0.00,92406.61,689168.11
2006,954490.49,148780.14,53263.48,123131.23,0.00,164502.38,1406884.04,12315.71,0.00,93607.12,680868.76
2007,977688.29,107796.13,53523.73,122116.55,0.00,165478.79,1405289.82,13404.23,0.00,89753.39,696151.96
2008,968764.05,112360.21,52925.51,120346.22,0.00,164708.76,1361281.83,13576.86,0.00,92290.06,693096.64
2009,955387.84,140225.91,53169.00,119308.17,0.00,168364.33,1364565.29,13928.96,0.00,89000.19,688844.51
2010,962342.91,126788.37,53491.25,119897.34,0.00,164875.44,1374614.46,14350.07,0.00,91839.03,691742.50
2011,951250.37,119839.10,52687.97,122102.61,0.00,164757.59,1396528.98,14959.57,0.00,91787.83,701582.17
2012,947925.17,114122.13,54247.95,129357.86,0.00,167121.14,1385446.48,15783.41,0.00,89397.32,709388.79
2013,957511.57,112704.19,53997.60,137774.33,0.00,164155.73,1350796.08,18076.11,0.00,85842.82,696890.31
2014,933564.75,152892.50,53636.93,143858.22,0.00,163669.81,1387558.57,20179.01,0.00,87284.05,710340.62
2015,932620.14,177050.74,53942.10,143822.45,0.00,163542.65,1390527.80,22300.89,0.00,87353.90,706305.48
2016,938224.28,140398.29,53250.55,153281.78,0.00,162645.44,1411367.89,23799.79,0.00,82494.84,706773.18
2017,930452.93,128683.02,54322.63,154438.08,0.00,157949.04,1399895.11,23611.81,0.00,84661.44,702579.88
2018,914577.99,109469.08,53767.77,159967.02,0.00,161015.52,1390895.35,22341.70,0.00,80511.61,712997.76
2019,916434.41,117332.48,54195.22,163409.57,0.00,160987.95,1351586.26,21865.22,0.00,82912.56,710228.03
2020,911716.82,135317.85,53835.15,175661.71,0.00,158438.00,1423924.19,22203.67,0.00,86428.15,703581.06
2021,922311.39,123045.64,53927.75,191370.01,0.00,160244.49,1384375.58,22440.07,0.00,76819.14,718170.47
2022,895739.35,131061.95,52302.06,201260.97,0.00,164427.65,1401876.18,23567.14,0.00,79769.41,711752.63
2023,938224.28,140398.29,53250.55,153281.78,0.00,162645.44,1411367.89,23799.79,0.00,82494.84,706773.18
2024,930452.93,128683.02,54322.63,154438.08,0.00,157949.04,1399895.11,23611.81,0.00,84661.44,702579.88
