,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1978,6274510.170000,3557210.050000,973110.412300,367636.392600,1920934.253000,4193627.942000,4727583.945000,46841.516300,3967522.181000,3062670.219000,15707015.880000
1979,6818819.139000,3283605.437000,956755.872100,356013.413600,1660425.892000,5094217.595000,5381441.621000,30716.682240,4612076.633000,3144411.084000,13875435.530000
1980,6693142.755000,2694414.061000,939996.707300,364788.613800,1628886.019000,4843375.439000,5063378.898000,21600.321990,4400100.220000,3154795.189000,13544434.440000
1981,7512271.929000,4037208.723000,851309.842800,321948.150800,1523666.082000,5574409.084000,5268996.088000,18577.675100,3881873.113000,3129481.237000,18281249.270000
1982,7166944.183000,4884187.495000,1031113.060000,243346.156700,1739103.224000,4308799.454000,5798002.840000,17276.718050,3603461.030000,3106334.967000,15213696.240000
1983,6669877.327000,3358316.137000,840207.592900,302999.474000,1974620.294000,4711516.315000,4630346.418000,10784.373570,5065521.166000,3455036.794000,14567058.880000
1984,6814805.796000,4189295.073000,871254.016900,268634.977800,1479594.065000,4718075.955000,5314224.597000,10555.796860,4843383.306000,3137060.021000,14921383.250000
1985,6857902.495000,3372338.201000,843053.073500,222105.152000,1620625.776000,5240497.252000,4777777.876000,17290.424420,4664386.828000,3185153.467000,14681037.740000
1986,6743760.688000,5116111.913000,1125231.078000,267323.334100,1390723.407000,5499603.169000,7447543.387000,17925.476910,4353654.171000,3133558.768000,16132167.780000
1987,7178638.135000,4159956.204000,958645.852300,242324.643000,1606768.435000,4713765.811000,5660750.722000,11264.726790,4822701.151000,3387868.970000,18233332.200000
1988,9290152.383000,4725233.934000,901501.209400,233178.150100,1580489.585000,5821270.502000,5227856.520000,7476.831414,4034456.047000,3410074.671000,14164872.770000
1989,6411624.037000,4574793.788000,799975.433600,242499.399200,1925327.102000,5720420.083000,4875370.032000,7041.744891,5137737.640000,3026045.546000,14729415.750000
1990,7020495.221000,4099100.088000,829346.031600,251198.273900,1778906.479000,5149447.895000,5214570.464000,6708.167595,4771052.063000,3082441.913000,15914951.620000
1991,7537156.051000,3725176.503000,953444.970600,260601.276800,1446517.512000,4558222.064000,5091499.669000,6543.996172,4030396.026000,2929117.053000,16103799.150000
1992,6659826.166000,5272313.584000,737357.909900,377295.124600,1661682.793000,4806914.174000,6748199.744000,3751.006771,4031179.521000,3577326.235000,15576453.820000
1993,7401819.050000,4517768.778000,884421.950900,556977.185800,1561900.779000,4434483.231000,5330851.126000,3256.143711,3850484.079000,4220286.162000,16512475.980000
1994,6560307.210000,5750036.806000,807061.343000,789967.465000,1649358.487000,4701677.338000,5749649.471000,5867.133922,3584361.037000,4139173.396000,14703144.540000
1995,6205582.450000,4228927.187000,983382.234600,831132.564100,1715969.692000,4490869.037000,5924201.176000,7461.436838,4366097.559000,3754038.358000,13789198.650000
1996,6437005.213000,4415708.388000,932237.531700,756740.060300,1500832.948000,4432144.308000,5636796.013000,10870.724930,3808968.476000,3382331.498000,17257089.990000
1997,7650070.667000,3806462.617000,904261.553000,760167.782400,1611471.768000,5424992.247000,5610436.011000,17138.648420,4429829.603000,4298293.332000,15124708.760000
1998,5832840.367000,3496478.952000,763924.143400,758640.552500,1716525.047000,3993676.819000,5226348.521000,20581.528860,4416137.250000,3950984.703000,17746051.700000
1999,7518211.025000,3567827.909000,984624.684300,834216.726300,1897368.192000,5091818.813000,5450524.255000,29446.381490,4768708.394000,2980931.355000,14842255.230000
